Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File
Move Attribute,count_PBS_all,RandomForest,0.3,8,16,0.6363636363636364,77,50,50,23,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Move Attribute,count_PBS_all,SVM,0.3,8,16,0.7337662337662338,97,50,50,3,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}""]",count,PBS,all
Move Attribute,count_PBS_all,LogisticRegression,0.3,8,16,0.7045454545454546,91,50,50,9,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Move Attribute,count_PBS_all,RandomForest,0.4,7,14,0.6647435897435898,93,40,60,7,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 4, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,PBS,all
Move Attribute,count_PBS_all,SVM,0.4,7,14,0.4935897435897436,99,0,100,1,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}""]",count,PBS,all
Move Attribute,count_PBS_all,LogisticRegression,0.4,7,14,0.6455128205128206,89,40,60,11,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Move Attribute,count_PBS_all,RandomForest,0.5,6,12,0.6286919831223629,92,33,67,8,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Move Attribute,count_PBS_all,SVM,0.5,6,12,0.5970464135021097,86,33,67,14,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all
Move Attribute,count_PBS_all,LogisticRegression,0.5,6,12,0.6223628691983122,91,33,67,9,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Move Method,count_PBS_all,RandomForest,0.2,8,16,0.7083333333333333,92,50,50,8,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Move Method,count_PBS_all,SVM,0.2,8,16,0.48717948717948717,97,0,100,3,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}""]",count,PBS,all
Move Method,count_PBS_all,LogisticRegression,0.2,8,16,0.40705128205128205,81,0,100,19,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Move Method,count_PBS_all,RandomForest,0.3,7,14,0.7858649789029536,91,67,33,9,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 300}""]",count,PBS,all
Move Method,count_PBS_all,SVM,0.3,7,14,0.4873417721518987,97,0,100,3,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}""]",count,PBS,all
